,adult,belongs_to_collection,collection_name,budget,genres,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,date_grp,cpi_index,cpi_current,inflation_rate,budget_diff,budget_adj,revenue_diff,revenue_adj,original_language_full
0,False,1066568,Terror Train Collection,0.0,Horror,1054624,en,Terror Train 2,9.43,2022-12-31,0.0,88,Released,Terror Train 2,4.0,1,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
2,False,579873,Major Grom Collection,0.0,Action,984317,ru,Гром: Трудное детство,3.33,2022-12-30,0.0,80,Released,Grom: Problem Childhood,8.0,3,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Russian
6,False,1068305,Last to leave VC Collection,25000.0,Comedy,1068302,en,"Last to leave VC wins $25,000",1.61,2022-12-30,0.0,130,Released,"Last to leave VC wins $25,000",0.0,0,22-Dec,296.797,296.797,0.0,0.0,25000.0,0.0,0.0,English
7,False,990964,Kiljuset collection,0.0,Family,683379,fi,Kiljuset!,2.52,2022-12-28,0.0,83,Released,The Hullabaloos!,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Finnish
9,False,120447,Naval Cadets Collection,4714285.0,Adventure,579845,ru,Гардемарины 1787. Мир,2.33,2022-12-26,0.0,120,Released,Midshipmen 1787. Peace,0.0,0,22-Dec,296.797,296.797,0.0,0.0,4714285.0,0.0,0.0,Russian
10,False,333154,The Anderssons Collection,0.0,Family,1055831,sv,Håkan Bråkan,1.99,2022-12-25,0.0,87,Released,Håkan Bråkan,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Swedish
13,False,279715,Beck Collection,0.0,Crime,1037341,sv,Beck 47 - Dödsfällan,2.6,2022-12-25,0.0,90,Released,Beck 47 - Dödsfällan,6.0,6,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Swedish
17,False,926177,Aldo Giovanni e Giacomo Collection,0.0,Comedy,919952,it,Il grande giorno,6.83,2022-12-22,0.0,90,Released,Il grande giorno,6.44,79,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Italian
18,False,1049094,Cek Toko Sebelah - Collection,0.0,Comedy,1046232,id,Cek Toko Sebelah 2,4.4,2022-12-22,0.0,114,Released,Check the Store Next Door 2,9.25,2,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Indonesian
21,False,245198,Feluda Collection,0.0,Mystery,987591,bn,হত্যাপুরী,8.74,2022-12-22,0.0,116,Released,Hatyapuri,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,"Bengali, Bangla"
23,False,94602,Puss in Boots Collection,90000000.0,Animation,315162,en,Puss in Boots: The Last Wish,9725.0,2022-12-21,205141553.0,103,Released,Puss in Boots: The Last Wish,8.61,1431,22-Dec,296.797,296.797,0.0,0.0,90000000.0,0.0,205141553.0,English
29,False,1052355,Gangsta Granny Collection,0.0,Comedy,1052354,en,Gangsta Granny Strikes Again,2.91,2022-12-16,0.0,60,Released,Gangsta Granny Strikes Again,4.5,2,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
31,False,87096,Avatar Collection,460000000.0,Science Fiction,76600,en,Avatar: The Way of Water,3003.55,2022-12-16,1752000000.0,192,Released,Avatar: The Way of Water,7.71,4103,22-Dec,296.797,296.797,0.0,0.0,460000000.0,0.0,1752000000.0,English
34,False,793278,The Great Restaurant Trilogy,0.0,Comedy,1062061,fr,Le Grand Restaurant : La guerre de l'étoile,1.06,2022-12-15,0.0,102,Released,The Grand Restaurant IV,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,French
36,False,1026051,Haami Collection,115000.0,Comedy,898937,bn,হামি ২,13.07,2022-12-15,0.0,140,Released,Haami 2,0.0,0,22-Dec,296.797,296.797,0.0,0.0,115000.0,0.0,0.0,"Bengali, Bangla"
39,False,989657,Ernest & Celestine Collection,0.0,Animation,947219,fr,"Ernest et Célestine, le Voyage en Charabie",5.7,2022-12-14,0.0,80,Released,Ernest & Celestine: A Trip to Gibberitia,7.1,9,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,French
41,False,483535,Huevos - Collection,0.0,Animation,573171,es,Huevitos Congelados,901.0,2022-12-14,0.0,91,Released,A Frozen Rooster,8.15,171,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Spanish
45,False,1054891,신비아파트 시리즈,0.0,Animation,1051393,ko,신비아파트: 차원도깨비와 7개의 세계,4.23,2022-12-14,0.0,103,Released,The Haunted House: The Dimensional Goblin and the Seven Worlds,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Korean
46,False,1020416,Easter Bunny Massacre Collection,0.0,Horror,1020410,en,Easter Bunny Massacre: The Bloody Trail,1.0,2022-12-11,0.0,80,Released,Easter Bunny Massacre: The Bloody Trail,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
47,False,1037353,Detective Knight Collection,0.0,Action,1035803,en,Detective Knight: Redemption,8.95,2022-12-09,0.0,93,Released,Detective Knight: Redemption,5.1,8,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
49,False,1050245,Binge Collection,0.0,Comedy,1026624,en,It's a Wonderful Binge,52.44,2022-12-09,0.0,99,Released,It's a Wonderful Binge,5.04,86,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
50,False,131989,Recep Ivedik Collection,0.0,Comedy,952062,tr,Recep İvedik 7,18.8,2022-12-09,0.0,133,Released,Recep İvedik 7,6.72,23,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Turkish
51,False,1043060,Knock Down the House Collection,0.0,Documentary,913869,en,To the End,2.2,2022-12-08,0.0,103,Released,To the End,1.0,1,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
52,False,1043070,Claus Family Collection,0.0,Family,1051959,nl,De Familie Claus 3,2.56,2022-12-07,0.0,73,Released,The Claus Family 3,5.7,5,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Dutch
54,False,519457,The Boss Baby Collection,0.0,Animation,1045944,en,The Boss Baby: Christmas Bonus,643.63,2022-12-06,0.0,47,Released,The Boss Baby: Christmas Bonus,6.74,167,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
57,False,979517,County Line Collection,0.0,Drama,1072197,en,County Line: No Fear,1.72,2022-12-06,0.0,95,Released,County Line: No Fear,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
59,False,1057942,Gutter Collection,0.0,Crime,1057935,en,Platinum,10.15,2022-12-06,0.0,123,Released,Platinum,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
61,False,1054534,Reno 911! Collection,0.0,Comedy,1051909,en,Reno 911!: It's a Wonderful Heist,206.07,2022-12-03,0.0,79,Released,Reno 911!: It's a Wonderful Heist,4.5,10,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
65,False,652379,Sorority Babes Collection,500000.0,Horror,596697,en,Sorority Babes in the Slimeball Bowl-O-Rama 2,1.85,2022-12-02,0.0,72,Released,Sorority Babes in the Slimeball Bowl-O-Rama 2,7.67,3,22-Dec,296.797,296.797,0.0,0.0,500000.0,0.0,0.0,English
66,False,897238,Diary of a Wimpy Kid (Animated) Collection,0.0,Animation,897192,en,Diary of a Wimpy Kid: Rodrick Rules,307.52,2022-12-02,0.0,74,Released,Diary of a Wimpy Kid: Rodrick Rules,6.82,66,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
69,False,583369,The Souvenir Collection,0.0,Drama,790867,en,The Eternal Daughter,7.9,2022-12-02,0.0,96,Released,The Eternal Daughter,5.86,18,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,English
71,False,315283,Çakallarla Dans Collection,0.0,Comedy,976745,tr,Çakallarla Dans 6,1.33,2022-12-02,0.0,116,Released,Çakallarla Dans 6,0.0,0,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Turkish
72,False,918344,HIT Universe,0.0,Crime,811945,te,HIT: The 2nd Case,5.32,2022-12-02,0.0,124,Released,HIT: The 2nd Case,7.0,6,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Telugu
75,False,107465,Six Degrees of Celebration Collection,0.0,Comedy,988225,ru,Ёлки 9,1.42,2022-12-01,0.0,94,Released,Six Degrees of Celebration 9,5.5,4,22-Dec,296.797,296.797,0.0,0.0,0.0,0.0,0.0,Russian
77,False,1055017,Hip Hop Family Christmas Collection,0.0,Comedy,1001980,en,Hip Hop Family Christmas Wedding,1.59,2022-11-30,0.0,87,Released,Hip Hop Family Christmas Wedding,4.0,1,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
79,False,999608,Честный развод (Серия),0.0,Comedy,999607,ru,Честный развод 2,1.15,2022-11-24,0.0,80,Released,Honest Divorce 2,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Russian
80,False,993128,Keramat Collection,0.0,Horror,835294,id,Keramat 2: Caruban Larang,12.23,2022-11-24,0.0,94,Released,Sacred 2,5.5,3,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Indonesian
81,False,1001670,Summoning Bloody Mary Collection,0.0,Horror,1001669,en,Bloody Mary Returns,1.08,2022-11-23,0.0,75,Released,Bloody Mary Returns,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
82,False,722971,Knives Out Collection,40000000.0,Mystery,661374,en,Glass Onion: A Knives Out Mystery,1656.74,2022-11-23,13280000.0,140,Released,Glass Onion: A Knives Out Mystery,7.07,2595,22-Nov,297.711,296.797,-0.003079546,-123181.84,39876818.16,-40896.37,13239103.63,English
85,False,1051993,Perfect Wife Collection,0.0,Thriller,1037598,en,The Perfect Wife 2,1.77,2022-11-22,0.0,89,Released,The Perfect Wife 2,7.0,1,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
86,False,534531,Prancer Collection,0.0,Family,1047431,en,Prancer: A Christmas Tale,5.34,2022-11-22,0.0,90,Released,Prancer: A Christmas Tale,6.5,4,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
88,False,531799,Enchanted Collection,0.0,Comedy,338958,en,Disenchanted,430.69,2022-11-18,0.0,120,Released,Disenchanted,7.06,666,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
91,False,1029834,Drishyam Collection,0.0,Crime,1029827,hi,दृश्यम २,10.1,2022-11-18,0.0,142,Released,Drishyam 2,7.8,20,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Hindi
95,False,201873,A Christmas Story Collection,0.0,Family,929340,en,A Christmas Story Christmas,21.72,2022-11-17,0.0,98,Released,A Christmas Story Christmas,6.5,91,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
98,False,824004,Diabolik Collection,0.0,Crime,823999,it,Diabolik - Ginko all'attacco!,6.0,2022-11-17,0.0,111,Released,Diabolik - Ginko all'attacco!,5.87,42,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Italian
100,False,1036634,Mariupolis Collection,0.0,Documentary,975017,ru,Mariupolis 2,0.97,2022-11-17,0.0,112,Released,Mariupolis 2,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Russian
101,False,988584,Dinosaur Hotel,0.0,Horror,980173,en,Dinosaur Hotel 2,0.68,2022-11-16,0.0,80,Released,Dinosaur Hotel 2,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
102,False,1041695,R.I.P.D. Collection,130.0,Fantasy,1013860,en,R.I.P.D. 2: Rise of the Damned,669.41,2022-11-15,78324220.0,102,Released,R.I.P.D. 2: Rise of the Damned,6.58,321,22-Nov,297.711,296.797,-0.003079546,-0.4,129.6,-241203.03,78083016.97,English
106,False,973367,Kit Collection,220.0,Animation,972968,en,Kit: Species from Beyond,0.6,2022-11-14,30.0,43,Released,Kit: Species from Beyond,0.0,0,22-Nov,297.711,296.797,-0.003079546,-0.68,219.32,-0.09,29.91,English
107,False,940926,Amityville Scarecrow Collection,0.0,Horror,903513,en,Amityville Scarecrow 2,0.67,2022-11-14,0.0,75,Released,Amityville Scarecrow 2,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
108,False,1037394,Father Christmas is Back Collection,0.0,Comedy,1037391,en,Christmas in Paradise,23.94,2022-11-11,0.0,88,Released,Christmas in Paradise,5.22,9,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
110,False,1068161,Boys Feels Collection,0.0,Drama,1047846,en,Boys Feels: Stand by Me,0.89,2022-11-11,0.0,110,Released,Boys Feels: Stand by Me,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
111,False,529892,Black Panther Collection,250000000.0,Action,505642,en,Black Panther: Wakanda Forever,1180.59,2022-11-11,820000000.0,162,Released,Black Panther: Wakanda Forever,7.47,1607,22-Nov,297.711,296.797,-0.003079546,-769886.49,249230113.51,-2525227.68,817474772.32,English
114,False,910707,Julemandens Datter (Samling),0.0,Family,1048418,da,Julemandens Datter 3 - Den Magiske Tidsmaskine,1.14,2022-11-10,0.0,92,Released,All I Want for Christmas: The Magic Time Machine,5.0,2,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Danish
115,False,1002775,Lost Bullet Collection,0.0,Action,948276,fr,Balle perdue 2,269.59,2022-11-10,0.0,98,Released,Lost Bullet 2,6.59,215,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,French
118,False,1059888,Savage X Fenty Collection,0.0,Music,1035467,en,Savage X Fenty Show Vol. 4,3.15,2022-11-09,0.0,41,Released,Savage X Fenty Show Vol. 4,4.4,5,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
120,False,980782,The Legend of Jack and Jill Collection,0.0,Horror,980150,en,Jack And Jill: The Hills of Hell,0.62,2022-11-07,0.0,76,Released,Jack And Jill: The Hills of Hell,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
121,False,980783,The Curse of Humpty Dumpty Collection,0.0,Horror,980168,en,The Cult of Humpty Dumpty,4.15,2022-11-07,0.0,79,Released,The Cult of Humpty Dumpty,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
122,False,828600,Christmas Thieves (Collection),0.0,Comedy,828595,en,The Good Witch of Christmas,5.24,2022-11-04,0.0,76,Released,The Good Witch of Christmas,7.0,2,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
125,False,393126,Letters to Santa Collection,0.0,Comedy,1019354,pl,Listy do M. 5,1.49,2022-11-04,0.0,117,Released,Letters to Santa 5,4.5,4,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,Polish
127,False,829314,Enola Holmes Collection,0.0,Mystery,829280,en,Enola Holmes 2,252.05,2022-11-04,0.0,129,Released,Enola Holmes 2,7.66,1610,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
131,False,692667,Meine Mutter... Filmreihe,0.0,Comedy,1043875,de,Meine Mutter raubt die Braut,0.68,2022-11-02,0.0,89,Released,Meine Mutter raubt die Braut,6.0,1,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,German
132,False,893268,Carters Collection,0.0,Comedy,1036309,en,Christmas with the Carters,1.47,2022-11-01,0.0,97,Released,Christmas with the Carters,0.0,0,22-Nov,297.711,296.797,-0.003079546,0.0,0.0,0.0,0.0,English
133,False,107949,Puppet Master Collection,0.0,Horror,779157,en,Puppet Master: Doktor Death,2.85,2022-10-28,0.0,62,Released,Puppet Master: Doktor Death,6.5,4,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
134,False,921710,The Blackwell Ghost Collection,0.0,Horror,1041446,en,The Blackwell Ghost 7,2.07,2022-10-28,0.0,70,Released,The Blackwell Ghost 7,5.0,2,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
135,False,1043447,Feed Collection,2200000.0,Horror,1015936,sv,Feed,2.11,2022-10-28,0.0,100,Released,Feed,6.0,2,22-Oct,298.012,296.797,-0.004093707,-9006.16,2190993.84,0.0,0.0,Swedish
136,False,650277,Z lásky nenávist (kolekce),0.0,Documentary,1044322,cs,Z lásky nenávist 4: Domácí násilí na dětech,0.6,2022-10-27,0.0,52,Released,When Love Turns to Hatred 4 - Domestic Violence on Children,0.0,0,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,Czech
137,False,821702,Bad Ben Collection,0.0,Horror,1001547,en,Bad Ben: Undead,0.83,2022-10-27,0.0,104,Released,Bad Ben: Undead,0.0,0,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
140,False,1043889,A Wicked Trilogy Collection,0.0,Romance,1041485,en,Torn,6.21,2022-10-27,0.0,156,Released,Torn,5.2,4,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
143,False,926517,Barbecue - Saga,0.0,Comedy,926516,fr,Plancha,4.46,2022-10-26,0.0,99,Released,Happy 50,5.58,20,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,French
144,False,732461,47 Ronin Collection,0.0,Action,732459,en,Blade of the 47 Ronin,302.01,2022-10-25,0.0,106,Released,Blade of the 47 Ronin,6.76,107,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
146,False,750050,Don't Fuck in the Woods Collection,0.0,Horror,729454,en,Don't Fuck in the Woods 2,17.59,2022-10-24,0.0,81,Released,Don't Fuck in the Woods 2,5.0,5,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
147,False,811796,Tooth Fairy - Collection,0.0,Horror,979760,en,Tooth Fairy: Drill to Kill,1.4,2022-10-24,0.0,84,Released,Tooth Fairy: Drill to Kill,0.0,0,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
148,False,893713,Sword Art Online the Movie -Progressive-,0.0,Animation,893712,ja,劇場版 ソードアート・オンライン -プログレッシブ- 冥き夕闇のスケルツォ,42.66,2022-10-22,0.0,100,Released,Sword Art Online the Movie -Progressive- Scherzo of Deep Night,6.6,12,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,Japanese
152,False,1066568,Terror Train Collection,0.0,Horror,974604,en,Terror Train,3.26,2022-10-21,0.0,90,Released,Terror Train,4.6,13,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
153,False,1037353,Detective Knight Collection,0.0,Action,1024546,en,Detective Knight: Rogue,874.08,2022-10-21,0.0,105,Released,Detective Knight: Rogue,6.2,38,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
155,False,1043282,50 Foot Cam Girl,100000.0,Science Fiction,1026202,en,Giantess Battle Attack!,4.31,2022-10-20,0.0,58,Released,Giantess Battle Attack!,7.43,14,22-Oct,298.012,296.797,-0.004093707,-409.37,99590.63,0.0,0.0,English
158,False,1023610,Der Vorname Filmreihe,0.0,Comedy,899792,de,Der Nachname,2.04,2022-10-20,0.0,87,Released,Der Nachname,7.06,8,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,German
159,False,455123,Belle & Sebastian,0.0,Family,893364,fr,Belle et Sébastien : Nouvelle génération,2.42,2022-10-19,0.0,96,Released,Belle et Sébastien : Nouvelle génération,5.7,5,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,French
161,False,1056558,10/31 Collection,10000.0,Horror,1040182,en,10/31 Part 3,0.6,2022-10-15,0.0,79,Released,10/31 Part 3,0.0,0,22-Oct,298.012,296.797,-0.004093707,-40.94,9959.06,0.0,0.0,English
162,False,888484,Time Is Up Collection,0.0,Romance,888479,en,Game of Love,16.83,2022-10-14,0.0,91,Released,Game of Love,6.22,66,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
164,False,947848,Accident Man Collection,0.0,Action,879444,en,Accident Man: Hitman's Holiday,25.77,2022-10-14,0.0,96,Released,Accident Man: Hitman's Holiday,6.92,47,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
167,False,91361,Halloween Collection,20000000.0,Horror,616820,en,Halloween Ends,137.63,2022-10-12,103000000.0,111,Released,Halloween Ends,6.44,1099,22-Oct,298.012,296.797,-0.004093707,-81874.14,19918125.86,-421651.84,102578348.16,English
169,False,1035073,Exhibition on Screen Collection,0.0,Documentary,1031038,en,Hopper: An American Love Story,0.61,2022-10-11,0.0,94,Released,Hopper: An American Love Story,6.0,1,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
170,False,1054094,ノンレムの窓 Collection,0.0,TV Movie,1054093,ja,ノンレムの窓 2022・秋,0.6,2022-10-09,0.0,55,Released,ノンレムの窓 2022・秋,0.0,0,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,Japanese
171,False,848690,Mortal Kombat Legends Collection,0.0,Animation,1007401,en,Mortal Kombat Legends: Snow Blind,103.14,2022-10-09,0.0,82,Released,Mortal Kombat Legends: Snow Blind,7.97,103,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
174,False,980780,Doctor Carver / Conjuring the Plastic Surgeon Collection,0.0,Horror,980144,en,"Demonic Plastic Surgeon, M D",1.39,2022-10-08,0.0,87,Released,"Demonic Plastic Surgeon, M D",0.0,0,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
175,False,762946,The Big Trip Collection,0.0,Animation,599019,ru,Большое путешествие. Специальная доставка,3.78,2022-10-07,0.0,90,Released,Big Trip 2: Special Delivery,7.0,1,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,Russian
177,False,823573,Aqua Teen Hunger Force Collection,0.0,Animation,828900,en,Aqua Teen Forever: Plantasm,5.16,2022-10-06,0.0,76,Released,Aqua Teen Forever: Plantasm,6.46,11,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
180,False,1040152,Monster High (Live-Action) Collection,0.0,Family,335795,en,Monster High: The Movie,101.63,2022-10-06,0.0,91,Released,Monster High: The Movie,6.9,149,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
186,False,426370,The Wog Boy Collection,0.0,Comedy,958785,en,Wog Boys Forever,4.2,2022-10-06,0.0,109,Released,Wog Boys Forever,5.33,3,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
187,False,727761,Terrifier Collection,250000.0,Horror,663712,en,Terrifier 2,726.98,2022-10-06,12400000.0,138,Released,Terrifier 2,6.99,871,22-Oct,298.012,296.797,-0.004093707,-1023.43,248976.57,-50761.97,12349238.03,English
188,False,1031641,The Foreign Exchange Student Collection,0.0,Thriller,1031637,en,The Foreign Exchange Student 2: The Hunt,0.6,2022-10-04,0.0,77,Released,The Foreign Exchange Student 2: The Hunt,0.0,0,22-Oct,298.012,296.797,-0.004093707,0.0,0.0,0.0,0.0,English
189,False,1024037,Black Is Beltza Collection,0.0,Animation,814773,en,Black Is Beltza II: Ainhoa,1.12,2022-09-30,0.0,85,Released,Black Is Beltza II: Ainhoa,6.25,2,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,English
192,False,976206,Sona Da Trilogy,0.0,Adventure,921662,bn,কর্ণসুবর্ণের গুপ্তধন,3.63,2022-09-30,0.0,128,Released,Karnasubarner Guptodhon,0.0,0,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,"Bengali, Bangla"
198,False,858086,Ponniyin Selvan,0.0,Action,660046,ta,பொன்னியின் செல்வன்: பாகம் 1,10.06,2022-09-30,0.0,167,Released,Ponniyin Selvan: Part I,7.28,34,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,Tamil
201,False,1023655,Snowflake/Tornado,0.0,Comedy,1023428,en,Stewart Lee: Tornado,1.79,2022-09-29,0.0,60,Released,Stewart Lee: Tornado,6.75,2,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,English
202,False,1041720,Die Schule der magischen Tiere Filmreihe,0.0,Adventure,926946,de,Die Schule der magischen Tiere 2,1.0,2022-09-29,0.0,103,Released,The School of Magical Animals 2,6.0,3,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,German
204,False,430186,Bring It On Collection,0.0,Thriller,831410,en,Bring It On: Cheer Or Die,61.98,2022-09-27,0.0,91,Released,Bring It On: Cheer Or Die,6.3,77,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,English
208,False,751156,Hocus Pocus Collection,30000000.0,Fantasy,642885,en,Hocus Pocus 2,188.97,2022-09-27,0.0,107,Released,Hocus Pocus 2,7.49,1264,22-Sep,296.808,296.797,-3.71e-05,-1111.87,29998888.13,0.0,0.0,English
211,False,225961,Birdemic Collection,500000.0,Horror,724585,en,Birdemic 3: Sea Eagle,4.26,2022-09-25,0.0,83,Released,Birdemic 3: Sea Eagle,2.0,1,22-Sep,296.808,296.797,-3.71e-05,-18.53,499981.47,0.0,0.0,English
214,False,1015410,Under Wraps Collection,0.0,Family,936061,en,Under Wraps 2,90.95,2022-09-25,0.0,83,Released,Under Wraps 2,6.78,34,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,English
218,False,94899,Jeepers Creepers Collection,5000000.0,Horror,717728,en,Jeepers Creepers: Reborn,374.77,2022-09-19,5954938.0,88,Released,Jeepers Creepers: Reborn,5.81,576,22-Sep,296.808,296.797,-3.71e-05,-185.31,4999814.69,-220.7,5954717.3,English
221,False,1067709,Badburn 2,250.0,Comedy,1022624,fr,Badburn,0.6,2022-09-17,0.0,78,Released,Badburn,10.0,1,22-Sep,296.808,296.797,-3.71e-05,-0.01,249.99,0.0,0.0,French
222,False,922431,GALILEO collection,0.0,Mystery,1001961,ja,ガリレオ 禁断の魔術,3.15,2022-09-17,0.0,102,Released,The Forbidden Magic,3.0,1,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,Japanese
223,False,950289,X Collection,1000000.0,Horror,949423,en,Pearl,63.57,2022-09-16,9423445.0,102,Released,Pearl,7.39,419,22-Sep,296.808,296.797,-3.71e-05,-37.06,999962.94,-349.26,9423095.74,English
224,False,922431,GALILEO collection,0.0,Crime,956564,ja,沈黙のパレード,1.87,2022-09-16,0.0,130,Released,Silent Parade,0.0,0,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,Japanese
226,False,925155,Demon Slayer: Kimetsu no Yaiba - Collection,0.0,Animation,895006,ja,鬼滅の刃 鼓屋敷編,57.05,2022-09-15,0.0,87,Released,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,7.38,4,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,Japanese
229,False,207621,V/H/S Collection,0.0,Horror,1005776,en,V/H/S/99,85.41,2022-09-15,0.0,99,Released,V/H/S/99,6.31,132,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,English
231,False,725887,Soof Collection,0.0,Comedy,613743,nl,Soof 3,0.97,2022-09-15,0.0,111,Released,Soof 3,7.5,4,22-Sep,296.808,296.797,-3.71e-05,0.0,0.0,0.0,0.0,Dutch
